rating,title,text,timestamp,helpful_vote
4.0,Amazing EarPods,These are so amazing I will proble buy another pair.,1653230009789,0
5.0,Good,Good and works really well and stays in the ears well,1594617211460,0
5.0,Great for use in the hospital,My sister was staying with me for 6 hours.  I got these to keep her entertained while I recovered.  Worked very well!,1666924097475,0
5.0,Nice product!,Perfect earbuds for granddaughter and her work!,1596983382679,0
5.0,Must have,i was against these forever. My daughter got them and used them sparingly. My wife then used my daughters and raved about them. i then used them and love them as well. Good sound quality and usefulness.,1635193803017,0
5.0,Wife needed another pair,Ok no other earphones are like the apple buds.  they just work and no stress.  Happy wife happy life.,1608783682063,0
5.0,Easy to use,These are so much better then the wired ones.  Worth the costs!,1626262604014,0
5.0,Perfect Pods!,"I was skeptical about ordering these after reading some of the bad reviews on here. But, I received my pair perfectly packaged and sealed just as you would get at the store. Both pods were clean, no sign of them being used. When connecting to my phone, it said my name and not someone else’s. The sound sounds great, as well. Battery does last along time. Overall, I’m very pleased and would recommend them.",1570634117715,0
5.0,Súper recomendables,Excelente producto<br />Estoy feliz con la calidad,1605881889625,0
5.0,recommend,would recommend & buy again,1614040386446,0
4.0,Wish I had splurged for the Pros,"They do get a little sore in my ears after a while. I wish the battery lasted just a smidge longer. I generally use them while doing things around the house, and they will last a few hours. The sound quality is very good. The input quality is better than the standard corded ear buds. It picks up my voice better. Noise cancellation is comparable to the standard ear buds.<br /><br />My biggest complaint is that these were not clean when I received them. I opted for the open box to get a discount on these. The description indicated that the box may have been opened and possibly damaged. However, it did not indicate that the item had been previously used. And especially considering the current pandemic situation, particular care should have been taken to ensure that the item had been cleaned. I spent about 20 minutes scraping ear wax out of the ear buds! Gross! And if you have had any Apple ear bud before, you know that it is very difficult to get into all of those tiny little crevices! I sincerely wish that Amazon had taken a little more care in the processing of returns such as this!",1590583473256,2
5.0,Apple warranty is important,"Fits is like the 1st edition, so I love that they stay in my ears. The 3rd didn't work for me. This 2nd edition has problems, so Apple replaced one of them. While at the Apple store, other people were there doing the same thing. Sometimes, they cut out and I haven't figured out why yet. I wish the 1st generation were still available as new. Alas, it's Apple. I love airpods, anyway.",1656819954977,0
5.0,Love them,"Love them. They are easy to connect to my device. Nice for when you are moving around, walking, listening to a book.  But the sound is not as good as the Bose quiet comfort headphones. I have those too.",1607701961377,0
4.0,Great AirPods,Purchased as Christmas gift. They highly enjoyed the features.,1609314717084,0
5.0,100% Real,They are real; I even checked with apple!😁,1624283499164,0
3.0,Gifted,Bought 2 sets for my grand daughters. I am sure like them.,1577631546284,0
5.0,I love them,Best price,1579585579955,0
5.0,Overall a decent product,"The design is certainly very Apple, as long as you enjoy their product. Four hours of talk on the phone and the battery is already low, but I guess it’s normal. There is no noice-cancelling and that’s of course not the point of this product.",1574517604109,0
5.0,Worth it,Worth it,1584803521512,0
5.0,Ok,Ok,1571332804222,0
5.0,Mother’s Day gift,"I was kinda nervous getting something electronic on amazon but as always my experience was great. My first pair I received had a rattle sound in one pod. The return process was easy, my replacement pair arrived and they’ve been great.",1598675495073,0
5.0,Apple fan,I’m Apple fan. Like it!,1571961975115,0
5.0,I would buy them again,Very good!!!!,1580671642018,0
5.0,"Yeah, AirPods!","Great product, sound quality is okay",1580084613541,0
5.0,Love it ‼️,It works the way it’s supposed to.,1608315815376,0
4.0,Good price,The price is very affordable. The earphone feels a little noisy when it is used. The logistics took several days. Generally it's the same as the one bought in the Apple Store.,1670471855192,0
5.0,Great product!,If you like the shape of Apple headphones you will love these. I can wear them for hours and they stay in place.,1562807658223,0
5.0,Idk if they’re genuine but they work great!,I have no complaints about these! They work great and the same as the pair I bought from Apple.,1657747291497,0
5.0,Only lost once.,Since finding they have been used daily.,1676576237559,0
5.0,great product,just what i wanted,1606860427765,0
5.0,Great for the apple enthusiast,"My wife wanted overpriced apple earbuds..pardon me airpods, and these were a tolerable price point. Great functions and decent mic pickup though i will admit.",1590115396200,2
5.0,I love the earbuds. First I have ever used. The sound quality is wonderful.,I am in my 60s. This is my first time using earbuds while walking or going to the gym. I am very happy with the product. They exceed my expectations. They are comfortable and easy to store/charge. I keep the volume at a level that I can hear traffic approaching and a person speaking to me.,1674052265139,0
5.0,Very versatile,"Finally gave in and bought these- where have they been all my life. Way more convenient than wired ones I had with my iPhone that didn’t match the jack and got tangled. These are by far the best purchase I’ve made on Amazon this year. All the hype is definitely worth it. Have also used to make calls for work and work way bette than a normal headset if calling from your cell. Easy to take on the go and so far battery has lasted me a whole day while on the phone. (9 hours, depending on use).",1627253020666,0
4.0,Nice,Good sound quality,1630815667278,0
5.0,Best earphones I've had so far,"I hear absolutely nothing when these are in; they cancel out all other noise, and the volume goes way higher than I need. These are good to get.",1611354159301,0
5.0,Awesome earpods.,Purchased these for my son as a Christmas present last year. These are still going strong and he loves them. Definitely worth the money and I highly recommend them.,1638638387848,0
5.0,Quality,"Just got, left one doesn't work. Called Apple…..their advise, go to the store or mail these back for new ones. Are you serious? So disgusted.<br /><br />Recorded, got the new ones. These are working great so far. Sound is good and love the freedom from a cord.",1633653785601,0
1.0,Wouldn’t stay paired,Returned for new Will update when I k ow they work.,1656697447494,0
